FBgn0000008	Q9W283
FBgn0031343	Q0E8U8
FBgn0031344	M9PAZ8
FBgn0031345	Q9VQ17
FBgn0031347	Q9VQ22
FBgn0031351	Q9VQ27
FBgn0031356	Q9VQ34
FBgn0031357	Q9VQ35
FBgn0031359	Q9VQ37
FBgn0031360	Q9VQ39
FBgn0031361	Q9VQ40
FBgn0031364	Q9VQ43
FBgn0031365	Q9VQ44
FBgn0031367	Q9VQ46
FBgn0031372	Q9VQ51
FBgn0031373	Q9VQ53
FBgn0031374	M9PB01
FBgn0031375	Q9VQ56
FBgn0031377	Q9VQ58
FBgn0031378	Q9VQ59
FBgn0031379	Q9VQ60
FBgn0031381	Q9VQ62
FBgn0031384	Q9VQ67
FBgn0031388	Q9VQ73
FBgn0031389	Q9VQ75
FBgn0031390	E2QCS8
FBgn0031391	Q9VQ77
FBgn0031392	Q9VQ79
FBgn0031393	Q9VQ80
FBgn0031395	M9PB06
FBgn0031397	Q9VQ86
FBgn0031398	Q95TS8
FBgn0031399	Q9VQ89
FBgn0031401	Q9VQ91
FBgn0031403	A8DYT6
FBgn0031406	Q9VQA0
FBgn0031407	Q9VQA2
FBgn0031409	Q9VQA4
FBgn0031410	Q9VQA5
FBgn0031412	Q9VQA7
FBgn0031413	Q9VQA8
FBgn0031414	A0A1F4
FBgn0031417	M9PE54
FBgn0031418	Q9VQB4
FBgn0031419	Q8SXK0
FBgn0031420	Q9VQB6
FBgn0031422	Q9VQB8
FBgn0031423	Q9VQB9
FBgn0031424	Q9VQC0
FBgn0031426	Q9VQC2
FBgn0031428	Q9VQC4
FBgn0031430	Q9VQD0
FBgn0031431	Q9VQD1
FBgn0031432	Q9VQD2
FBgn0031434	Q8SYK5
FBgn0031435	Q9VQD6
FBgn0031436	Q9VQD7
FBgn0031437	Q9VQD8
FBgn0031440	Q7KU18
FBgn0031441	Q9VQE3
FBgn0031442	Q8T8U1
FBgn0031443	Q9VQE5
FBgn0031444	Q9VQE6
FBgn0031446	Q9VQE8
FBgn0031449	M9PBX3
FBgn0031450	Q960X8
FBgn0031451	Q9VQF4
FBgn0031452	Q9VQF5
FBgn0031453	Q9VQF7
FBgn0031454	Q9VQF8
FBgn0031455	Q9VQF9
FBgn0031456	Q9VQG0
FBgn0031457	Q9VQG1
FBgn0031458	Q9VQG2
FBgn0031459	Q8STA5
FBgn0031460	Q9VQG6
FBgn0031461	Q9VQG9
FBgn0031462	Q9VQH0
FBgn0031463	Q9VQH1
FBgn0031465	Q9VQH3
FBgn0031466	Q9VQH4
FBgn0031467	Q9VQH5
FBgn0031468	Q9VQH6
FBgn0031469	Q9VQH7
FBgn0031470	Q9VQH8
FBgn0031471	Q9VQH9
FBgn0031472	Q9VQI0
FBgn0031473	Q9VQI1
FBgn0031474	Q9VQI2
FBgn0031476	Q9VQI4
FBgn0031478	Q9VQI6
FBgn0031479	Q9VQI7
FBgn0031483	Q9VQJ6
FBgn0031484	Q9VQJ7
FBgn0031485	Q9VQJ8
FBgn0031488	Q9VQK1
FBgn0031489	Q0E8U4
FBgn0031490	Q9VQK3
FBgn0031491	Q9VQK4
FBgn0031492	Q9VQK5
FBgn0031493	Q9VQK7
FBgn0031494	Q9VQK8
FBgn0031495	Q9VQK9
FBgn0031496	Q9VQL0
FBgn0031497	Q9VQL1
FBgn0031498	Q9VQL2
FBgn0031500	Q8IPZ3
FBgn0031501	Q9VQL5
FBgn0031504	Q4V6K4
FBgn0031505	Q9VQM2
FBgn0031512	Q9VQN1
FBgn0031513	Q9VQN2
FBgn0031514	Q9VQN3
FBgn0031515	Q0E8U2
FBgn0031516	Q8MRL3
FBgn0031517	Q9VQN6
FBgn0031518	Q8IQ00
FBgn0031519	Q9VQN8
FBgn0031520	Q9VQN9
FBgn0031522	Q9VQP1
FBgn0031523	Q9VQP2
FBgn0031526	Q9VQP5
FBgn0031528	M9PED9
FBgn0031529	Q9VQP9
FBgn0031530	Q6WV19
FBgn0031531	Q9VQQ3
FBgn0031533	Q9VQQ5
FBgn0031534	Q9VQQ6
FBgn0031535	Q9VQQ7
FBgn0031536	Q961G1
FBgn0031538	Q9VQR0
FBgn0031540	Q9VQR3
FBgn0031542	Q9VQR5
FBgn0031544	Q9VQR9
FBgn0031545	Q9VQS0
FBgn0031546	R9PY49
FBgn0031547	Q9VQS2
FBgn0031548	Q9VQS3
FBgn0031549	Q9VQS4
FBgn0031550	Q9VQS5
FBgn0031554	Q9VQT1
FBgn0031558	Q9VQT5
FBgn0031559	Q9VQT6
FBgn0031560	Q9VQT7
FBgn0031561	Q9VQT8
FBgn0031562	Q9VQT9
FBgn0031563	Q9VQU0
FBgn0031564	Q4V4A5
FBgn0031566	Q9VQU3
FBgn0031568	Q9VQU7
FBgn0031571	M9NDE3
FBgn0031573	Q9VQV3
FBgn0031574	Q9VQV6
FBgn0031575	Q9VQV7
FBgn0031579	Q9VQW4
FBgn0031580	Q9VQW5
FBgn0031585	Q9VQX0
FBgn0031589	Q9VQX4
FBgn0031590	Q9VQX6
FBgn0031592	Q9VQX9
FBgn0031596	Q9VQY5
FBgn0031597	Q9VQY7
FBgn0031598	Q9VQY8
FBgn0031600	Q9VQZ0
FBgn0031601	Q8SZ87
FBgn0031602	Q9VQZ3
FBgn0031603	Q9VQZ5
FBgn0031604	Q9VQZ6
FBgn0031606	Q9VQZ8
FBgn0031607	Q8SXG7
FBgn0031608	Q9VR03
FBgn0031609	Q9VR04
FBgn0031610	Q9VR05
FBgn0031611	Q9VR06
FBgn0031613	Q9VR09
FBgn0031617	Q9VR13
FBgn0031619	Q9VR15
FBgn0031620	Q9VR18
FBgn0031621	Q9VR19
FBgn0031622	Q9VR20
FBgn0031623	Q9VR21
FBgn0031626	Q9VR24
FBgn0031627	Q9VR25
FBgn0031628	Q9VR26
FBgn0031630	Q9VR28
FBgn0031631	Q9VR29
FBgn0031632	Q9VR30
FBgn0031633	Q9VR31
FBgn0031634	E9NA96
FBgn0031635	Q9VR33
FBgn0031636	E1JHT4
FBgn0031637	Q9VR35
FBgn0031638	Q9VR36
FBgn0031639	Q8MSS7
FBgn0031640	Q9VR38
FBgn0031643	Q9VR42
FBgn0031644	Q9VR43
FBgn0031645	Q9VR44
FBgn0031646	Q9VR45
FBgn0031649	Q9VR48
FBgn0031650	Q9VMY2
FBgn0031651	Q9VMY1
FBgn0031652	Q9VMY0
FBgn0031653	Q9VMX9
FBgn0031654	Q9VMX8
FBgn0031655	Q9VMX6
FBgn0031657	Q9VMX3
FBgn0031659	Q9VMX1
FBgn0031660	Q9VMX0
FBgn0031661	Q9VMW9
FBgn0031662	Q9VMW8
FBgn0031663	Q9VMW7
FBgn0031664	Q7K4I5
FBgn0031668	Q9VMV7
FBgn0031670	Q9VMV6
FBgn0031673	Q7K1W8
FBgn0031675	Q9VMV0
FBgn0031676	Q9VMU8
FBgn0031677	Q9VMU7
FBgn0031678	Q9VMU6
FBgn0031681	Q6WV17
FBgn0031682	Q9VMU2
FBgn0031683	M9PB41
FBgn0031684	Q9VMU0
FBgn0031688	Q9VMT6
FBgn0031689	Q9VMT5
FBgn0031690	Q9VMT4
FBgn0031692	Q9VMT2
FBgn0031693	Q9VMS9
FBgn0031694	Q9VMS8
FBgn0031695	Q9VMS7
FBgn0031696	Q9VMS5
FBgn0031697	Q9VMS3
FBgn0031698	A8DYV5
FBgn0031700	Q9VMR9
FBgn0031701	Q9VMR8
FBgn0031702	Q7K3S3
FBgn0031703	Q9VMR6
FBgn0031707	M9PB43
FBgn0031708	Q9VMR0
FBgn0031710	Q9VMQ8
FBgn0031711	Q9VMQ7
FBgn0031713	Q9VMQ5
FBgn0031715	Q9VMQ3
FBgn0031716	Q9VMQ2
FBgn0031717	Q9VMP9
FBgn0031718	Q9VMP8
FBgn0031719	Q9VMP7
FBgn0031720	Q9VMP6
FBgn0031721	Q9VMP5
FBgn0031722	Q9VMP2
FBgn0031723	Q9VMP1
FBgn0031724	Q9VMP0
FBgn0031725	Q9VMN9
FBgn0031726	X2J9F6
FBgn0031728	Q9VMN5
FBgn0031729	Q9VMN4
FBgn0031730	Q9VMN3
FBgn0031731	Q9VMN2
FBgn0031732	Q9VMN1
FBgn0031733	Q9VMN0
FBgn0031734	Q9VMM9
FBgn0031735	Q9VMM8
FBgn0031736	Q9VMM7
FBgn0031737	Q9VMM6
FBgn0031738	Q7JRE1
FBgn0031739	Q9VMM4
FBgn0031740	Q9VMM3
FBgn0031741	Q9VMM2
FBgn0031745	Q9VML8
FBgn0031746	X2JDB2
FBgn0031747	Q9VML5
FBgn0031749	Q8T3P5
FBgn0031751	Q9I7P2
FBgn0031752	M9PCP3
FBgn0031753	Q9VMK8
FBgn0031756	Q9VMK2
FBgn0031757	Q9VMK1
FBgn0031758	Q9VMK0
FBgn0031759	Q9VMJ7
FBgn0031760	Q9VMJ6
FBgn0031762	Q9VMJ4
FBgn0031763	Q9VMJ2
FBgn0031764	Q9VMJ1
FBgn0031765	X2JDC2
FBgn0031766	Q9VMI8
FBgn0031768	Q9VMI6
FBgn0031769	Q9VMI5
FBgn0031770	Q9VMI4
FBgn0031771	Q9VMI3
FBgn0031772	Q9VMI2
FBgn0031773	Q9VMI1
FBgn0031774	Q9VMI0
FBgn0031775	Q9VMH9
FBgn0031776	Q9VMH8
FBgn0031777	Q9VMH7
FBgn0031779	Q9VMH4
FBgn0031782	Q6NL34
FBgn0031784	Q8T4D4
FBgn0031785	Q9VMG8
FBgn0031786	Q9VMG6
FBgn0031791	Q9VMG0
FBgn0031792	Q9VMF9
FBgn0031799	Q9V3V3
FBgn0031800	Q9VMF1
FBgn0031801	Q9VMF0
FBgn0031802	Q9VME9
FBgn0031803	Q9VME8
FBgn0031804	Q9VME7
FBgn0031805	Q9VME6
FBgn0031808	Q9VME3
FBgn0031811	Q9VME0
FBgn0031813	B7Z028
FBgn0031814	Q9VMD6
FBgn0031815	Q9VMD5
FBgn0031816	Q9VMD4
FBgn0031817	Q9VMD3
FBgn0031818	Q9VMD2
FBgn0031820	Q9VMD0
FBgn0031822	Q9VMC8
FBgn0031824	Q9VMC6
FBgn0031826	Q9VMC4
FBgn0031829	Q9VMC0
FBgn0031830	Q9VMB9
FBgn0031831	Q9VMB8
FBgn0031832	Q8MS69
FBgn0031834	Q9VMB5
FBgn0031835	X2J9P4
FBgn0031836	Q9VMB3
FBgn0031837	Q4V3F0
FBgn0031844	Q9VMA4
FBgn0031848	Q9VMA0
FBgn0031849	Q9VM98
FBgn0031850	Q9VM97
FBgn0031851	Q9VM95
FBgn0031853	Q9VM92
FBgn0031854	Q9VM91
FBgn0031855	Q9VM90
FBgn0031856	Q9VM89
FBgn0031857	Q8IPJ3
FBgn0031858	Q9VM87
FBgn0031859	Q8IPJ1
FBgn0031860	Q9VM80
FBgn0031861	Q9VM79
FBgn0031865	Q9VM74
FBgn0031866	Q9NGK5
FBgn0031868	Q9VM71
FBgn0031869	M9PCE3
FBgn0031871	Q9VM65
FBgn0031872	Q9VM64
FBgn0031873	Q9VM63
FBgn0031874	Q9VM61
FBgn0031875	Q9VM60
FBgn0031876	Q9VM59
FBgn0031877	Q9VM58
FBgn0031878	Q7KTL5
FBgn0031879	E1JHA6
FBgn0031881	Q9VM51
FBgn0031882	Q9VM50
FBgn0031883	Q9VM49
FBgn0031885	Q9VM47
FBgn0031886	Q9VM45
FBgn0031887	Q9VM44
FBgn0031888	Q9VM43
FBgn0031893	A2VEI2
FBgn0031894	Q9VM37
FBgn0031895	Q9VM36
FBgn0031896	Q9VM35
FBgn0031897	M9PEZ6
FBgn0031900	Q9VM30
FBgn0031902	Q9VM26
FBgn0031903	Q9VM25
FBgn0031904	Q9VM22
FBgn0031905	Q9VM21
FBgn0031906	Q9VM20
FBgn0031907	C9QPE7
FBgn0031908	Q9VM18
FBgn0031909	Q9VM17
FBgn0031910	Q9VM16
FBgn0031913	Q9VM12
FBgn0031914	Q9VM11
FBgn0031918	Q9VM07
FBgn0031920	Q9VM05
FBgn0031925	Q9VLZ7
FBgn0031926	Q9VLZ6
FBgn0031929	Q9VLZ2
FBgn0031930	Q9VLZ1
FBgn0031935	Q9VLY5
FBgn0031936	Q9VLY4
FBgn0031937	Q9VLY3
FBgn0031939	Q9I7N9
FBgn0031940	Q9VLY1
FBgn0031941	Q9VLY0
FBgn0031942	Q9VLX9
FBgn0031945	Q9VLX6
FBgn0031946	Q9VLX3
FBgn0031947	Q9VLX2
FBgn0031948	Q8T0S3
FBgn0031950	Q9VLW9
FBgn0031951	Q9VLW8
FBgn0031952	Q9VLW7
FBgn0031954	Q9VLW3
FBgn0031955	Q9VLW2
FBgn0031957	Q8SZP2
FBgn0031959	Q9VLV7
FBgn0031961	Q9VLV6
FBgn0031968	Q9VLU9
FBgn0031969	B7Z031
FBgn0031970	Q9VLU7
FBgn0031971	Q9VLU6
FBgn0031972	Q9VLU5
FBgn0031973	Q9VLU4
FBgn0031974	Q9VLU3
FBgn0031975	Q9VLU2
FBgn0031976	Q9VLU1
FBgn0031977	Q9VLU0
FBgn0031979	Q9VLT8
FBgn0031980	Q9VLT7
FBgn0031981	Q9VLT6
FBgn0031985	Q9VLT1
FBgn0031986	Q9VLT0
FBgn0031987	Q9VLS9
FBgn0031988	Q9VLS8
FBgn0031990	Q9VLS7
FBgn0031992	Q9VLS4
FBgn0031995	Q9VLS1
FBgn0031996	Q9VLS0
FBgn0031997	Q9VLR9
FBgn0031998	Q9VLR8
FBgn0031999	Q9VLR7
FBgn0032000	Q8IPG2
FBgn0032001	Q9VLR3
FBgn0032002	Q9VLR2
FBgn0032003	Q7KTJ2
FBgn0032004	Q9VLR0
FBgn0032005	M9NDI3
FBgn0032006	E1JHB7
FBgn0032008	Q9VLQ6
FBgn0032010	M9PB71
FBgn0032013	M9PF78
FBgn0032014	Q9VLP9
FBgn0032015	Q8SY53
FBgn0032016	Q9VLP7
FBgn0032017	Q9VLP6
FBgn0032018	Q9VLP5
FBgn0032020	Q9VLP3
FBgn0032021	Q9VLP2
FBgn0032022	Q9VLP1
FBgn0032023	Q9VLP0
FBgn0032024	Q9VLN9
FBgn0032025	Q9VLN8
FBgn0032026	Q9VLN6
FBgn0032029	Q7K3Z8
FBgn0032030	Q9VLN1
FBgn0032031	Q9VLN0
FBgn0032032	Q9VLM9
FBgn0032033	Q9VLM7
FBgn0032034	Q9VLM6
FBgn0032036	Q9VLM3
FBgn0032039	Q9VLL7
FBgn0032040	Q9VLL6
FBgn0032042	Q9VLL4
FBgn0032047	Q8T4E7
FBgn0032048	Q9VLK4
FBgn0032049	Q9VLK3
FBgn0032050	Q9VLK2
FBgn0032051	Q9VLK1
FBgn0032052	Q9VLK0
FBgn0032053	Q9VLJ9
FBgn0032054	Q9VLJ8
FBgn0032055	Q9VLJ7
FBgn0032057	Q9VLJ2
FBgn0032058	Q9VLJ1
FBgn0032059	Q9VLJ0
FBgn0032061	Q9VLI6
FBgn0032065	Q9VLI3
FBgn0032066	Q9VLI2
FBgn0032067	Q9VLI1
FBgn0032068	Q9VLI0
FBgn0032069	Q9VLH9
FBgn0032072	Q9VLH5
FBgn0032074	Q9VLH1
FBgn0032075	Q9VLH0
FBgn0032076	Q9VLG9
FBgn0032077	Q86BM0
FBgn0032078	Q7K237
FBgn0032079	A8DYY1
FBgn0032080	Q9VLG5
FBgn0032082	Q9VLG3
FBgn0032083	M9PCF9
FBgn0032084	Q9VLG1
FBgn0032085	Q9VLF8
FBgn0032086	Q9VLF7
FBgn0032087	Q9VLF4
FBgn0032088	Q8MT42
FBgn0032089	Q9VLF2
FBgn0032090	Q9VLF1
FBgn0032094	Q9VLE7
FBgn0032095	Q9VLE6
FBgn0032096	Q9VLE5
FBgn0032100	Q9VLE1
FBgn0032101	M9PD03
FBgn0032104	Q9VLD7
FBgn0032105	Q9VLD6
FBgn0032109	Q9VLD1
FBgn0032110	Q9VLC9
FBgn0032111	Q9VLC8
FBgn0032115	Q9VLC4
FBgn0032116	Q9VLC3
FBgn0032117	Q9VLC1
FBgn0032119	Q9VLB9
FBgn0032120	Q7KTG6
FBgn0032122	Q9VLB4
FBgn0032123	Q9VLB3
FBgn0032124	Q9VLB2
FBgn0032125	Q9VLB1
FBgn0032126	Q9VLB0
FBgn0032127	A9UN61
FBgn0032129	Q7JV09
FBgn0032130	Q9VLA6
FBgn0032131	Q9VLA4
FBgn0032132	Q9VLA3
FBgn0032135	Q9VLA1
FBgn0032136	Q7KTG2
FBgn0032138	Q9VL96
FBgn0032139	Q9VL94
FBgn0032140	Q9VL93
FBgn0032143	Q9VL87
FBgn0032144	Q9VL86
FBgn0032147	Q9VL83
FBgn0032149	Q9VL81
FBgn0032150	Q9VL80
FBgn0032151	Q7KTF8
FBgn0032153	Q9VL77
FBgn0032154	Q9VL76
FBgn0032156	Q9VL73
FBgn0032157	Q9VL72
FBgn0032160	Q9VL68
FBgn0032161	Q9VL67
FBgn0032162	Q9VL66
FBgn0032163	Q9VL65
FBgn0032166	Q7KTG0
FBgn0032167	Q9VL61
FBgn0032168	Q9VL60
FBgn0032169	Q9VL59
FBgn0032170	Q9VL57
FBgn0032171	Q9VL58
FBgn0032172	M9PD30
FBgn0032175	Q9VL48
FBgn0032176	Q9VL47
FBgn0032178	Q9VL44
FBgn0032181	Q9VL41
FBgn0032184	Q9VL37
FBgn0032187	Q9VL34
FBgn0032188	Q9VL33
FBgn0032189	Q9VL31
FBgn0032191	Q9VL28
FBgn0032192	Q9VL27
FBgn0032193	Q9VL26
FBgn0032194	Q9VL25
FBgn0032195	Q9VL22
FBgn0032196	Q9VL21
FBgn0032198	Q9VL18
FBgn0032200	Q9VL16
FBgn0032202	Q9VL14
FBgn0032204	Q95TN1
FBgn0032205	Q9VL11
FBgn0032208	Q9VL06
FBgn0032209	Q9VL05
FBgn0032210	Q8IPC5
FBgn0032211	Q9VL03
FBgn0032213	Q9VL01
FBgn0032214	Q9VL00
FBgn0032216	Q9VKZ8
FBgn0032217	Q9VKZ7
FBgn0032218	Q9VKZ6
FBgn0032219	Q9VKZ5
FBgn0032221	A8DYY6
FBgn0032222	Q9VKZ1
FBgn0032223	Q9VKZ0
FBgn0032224	Q9VKY8
FBgn0032225	Q9VKY7
FBgn0032228	Q9VKY4
FBgn0032229	Q9VKY3
FBgn0032230	Q9VKY1
FBgn0032231	Q9VKY0
FBgn0032233	Q9VKX8
FBgn0032234	Q9VKX7
FBgn0032235	Q9VKX6
FBgn0032236	Q9VKX4
FBgn0032240	Q9VKW8
FBgn0032242	Q9VKW5
FBgn0032243	Q9VKW4
FBgn0032244	Q9VKW3
FBgn0032246	Q9VKW1
FBgn0032247	Q9VKV9
FBgn0032248	Q9VKV8
FBgn0032249	Q9VKV6
FBgn0032250	Q9VKV5
FBgn0032251	Q9VKV4
FBgn0032252	Q9VKV3
FBgn0032253	Q9VKV2
FBgn0032256	Q9VKU8
FBgn0032258	Q95TN4
FBgn0032259	Q9VKU5
FBgn0032260	Q9VKU4
FBgn0032261	Q9VKU3
FBgn0032262	Q9VKU2
FBgn0032264	M9PCU5
FBgn0032265	Q9VKT8
FBgn0032266	Q9VKT7
FBgn0032268	Q8IPB6
FBgn0032269	Q9VKT4
FBgn0032271	Q9VKT2
FBgn0032280	Q9VKS3
FBgn0032281	Q9VKS2
FBgn0032282	Q9VKS1
FBgn0032283	Q8SXV4
FBgn0032284	Q9VKR9
FBgn0032285	Q9VKR8
FBgn0032286	Q9VKR7
FBgn0032287	Q9VKR4
FBgn0032289	M9MRT1
FBgn0032290	Q9VKR2
FBgn0032291	Q9VKR1
FBgn0032292	Q9VKR0
FBgn0032293	Q9VKQ9
FBgn0032294	Q9VKQ8
FBgn0032295	Q9VKQ7
FBgn0032296	Q9VKQ6
FBgn0032297	Q9VKQ5
FBgn0032298	Q9VKQ3
FBgn0032299	Q9VKQ2
FBgn0032303	Q9VKP7
FBgn0032304	Q9VKP6
FBgn0032305	Q9VKP5
FBgn0032311	Q9VKN6
FBgn0032312	Q9VKN5
FBgn0032313	Q9VKN4
FBgn0032314	Q7KTF1
FBgn0032315	Q9VKN2
FBgn0032318	Q9VKM9
FBgn0032321	Q9VKM6
FBgn0032322	M9PFK3
FBgn0032329	Q8SX32
FBgn0032330	Q9VKL0
FBgn0032331	A8DYZ1
FBgn0032335	Q9VKK6
FBgn0032336	Q9VKK5
FBgn0032337	X2J7V2
FBgn0032338	M9ND65
FBgn0032339	Q9VKK2
FBgn0032341	Q8MQS4
FBgn0032343	Q9VKJ8
FBgn0032345	Q9VKJ5
FBgn0032346	Q9VKJ4
FBgn0032348	Q9VKJ1
FBgn0032350	Q9VKI8
FBgn0032354	Q9VKI2
FBgn0032358	Q9VKH6
FBgn0032360	Q9VKH4
FBgn0032362	Q9VKG9
FBgn0032363	Q9VKG8
FBgn0032364	Q2MGK5
FBgn0032365	Q9VKG6
FBgn0032366	Q9VKG5
FBgn0032368	Q9VKG2
FBgn0032369	Q9VKG0
FBgn0032370	Q9VKF9
FBgn0032371	Q9VKF8
FBgn0032372	Q9VKF7
FBgn0032373	Q9VKF6
FBgn0032374	M9PCR1
FBgn0032375	E1JHF9
FBgn0032376	Q9VKF3
FBgn0032377	Q9VKF2
FBgn0032378	Q9VKF0
FBgn0032381	Q9VKE6
FBgn0032382	A0A4P1SA55
FBgn0032385	Q9VKE1
FBgn0032387	Q9VKD9
FBgn0032388	Q95TU2
FBgn0032390	Q9VKD6
FBgn0032391	Q9VKD5
FBgn0032393	Q9VKD3
FBgn0032394	Q9VKD2
FBgn0032395	Q9VKD0
FBgn0032397	Q9VKC8
FBgn0032398	Q9VKC7
FBgn0032399	Q9VKC6
FBgn0032400	Q9VKC5
FBgn0032401	Q9VKC4
FBgn0032402	Q9VKC3
FBgn0032404	Q9VKC1
FBgn0032405	Q9VKB8
FBgn0032406	Q9VKB7
FBgn0032407	Q8IP97
FBgn0032408	Q9VKB4
FBgn0032409	Q9VKB2
FBgn0032414	Q9VKA7
FBgn0032415	Q86BL6
FBgn0032416	Q9VKA5
FBgn0032419	Q9VKA2
FBgn0032420	Q9VKA1
FBgn0032421	Q9VKA0
FBgn0032422	Q9VK99
FBgn0032424	Q9VK96
FBgn0032428	Q9VK91
FBgn0032429	Q9VK90
FBgn0032430	Q9VK89
FBgn0032431	Q9VK88
FBgn0032433	Q9VK84
FBgn0032434	Q9VK83
FBgn0032435	Q9VK82
FBgn0032436	Q9VK81
FBgn0032439	Q9VK76
FBgn0032442	Q9VK72
FBgn0032444	Q9VK69
FBgn0032445	Q9VK68
FBgn0032446	Q9VK67
FBgn0032447	X2JDZ1
FBgn0032448	Q9VK65
FBgn0032449	Q9VK64
FBgn0032450	Q9VK63
FBgn0032451	M9PD12
FBgn0032452	Q9VK61
FBgn0032453	Q9VK60
FBgn0032454	Q9VK59
FBgn0032455	Q9VK58
FBgn0032456	Q7KTC0
FBgn0032457	Q9VK55
FBgn0032462	Q9VK49
FBgn0032464	Q9VK47
FBgn0032465	Q9VK46
FBgn0032467	Q9VK44
FBgn0032470	Q9VK41
FBgn0032471	Q9VK40
FBgn0032472	Q9VK39
FBgn0032473	Q9VK36
FBgn0032474	M9PD23
FBgn0032475	Q9VK33
FBgn0032476	Q9VK31
FBgn0032477	Q9VK30
FBgn0032478	Q9VK29
FBgn0032479	Q9VK28
FBgn0032480	Q9VK27
FBgn0032481	Q8SWW4
FBgn0032482	Q9VK25
FBgn0032483	Q9VK23
FBgn0032484	Q9VK22
FBgn0032485	Q9VK21
FBgn0032486	Q9VK20
FBgn0032487	Q9VK19
FBgn0032488	Q9VK18
FBgn0032489	Q9VK17
FBgn0032490	Q9VK16
FBgn0032491	Q9VK15
FBgn0032492	Q9VK14
FBgn0032493	Q9VK13
FBgn0032494	Q9VK12
FBgn0032495	Q9VK11
FBgn0032499	Q9VK07
FBgn0032503	Q9VK02
FBgn0032505	Q9VK00
FBgn0032506	Q9VJZ9
FBgn0032507	Q9VJZ8
FBgn0032509	Q9VJZ6
FBgn0032511	Q9VJZ4
FBgn0032512	Q9VJZ3
FBgn0032513	Q9VJZ2
FBgn0032514	Q9VJZ1
FBgn0032515	Q9VJY9
FBgn0032516	Q9VJY8
FBgn0032517	Q9VJY7
FBgn0032518	Q9VJY6
FBgn0032519	Q9VJY5
FBgn0032520	Q9VJY4
FBgn0032521	Q9VJY3
FBgn0032522	Q9VJY1
FBgn0032523	Q9VJY0
FBgn0032524	Q9VJX8
FBgn0032525	Q9VJX7
FBgn0032530	Q9VJX1
FBgn0032533	Q9VJW0
FBgn0032535	Q9VJV2
FBgn0032536	Q8SXX2
FBgn0032538	Q8SZM2
FBgn0032549	Q9VJR8
FBgn0032551	Q7KT84
FBgn0032553	Q9VJR3
FBgn0032554	M9NDP9
FBgn0032563	Q9VJP4
FBgn0032577	Q9VJM8
FBgn0032582	M9ND90
FBgn0032585	Q9VJK5
FBgn0032586	Q9V3W1
FBgn0032587	Q9VJK4
FBgn0032588	Q9VJK3
FBgn0032590	Q9VJK1
FBgn0032593	Q9VJJ7
FBgn0032595	Q9VJJ1
FBgn0032596	Q9VJJ0
FBgn0032597	Q9VJI9
FBgn0032598	Q9VJI8
FBgn0032600	M9PBC6
FBgn0032601	Q9VJI5
FBgn0032602	Q9VJI4
FBgn0032603	Q9VJI1
FBgn0032609	Q9VJH7
FBgn0032612	Q9VJH1
FBgn0032613	Q9VJH0
FBgn0032614	Q8IGQ3
FBgn0032615	Q9VJG8
FBgn0032618	Q9VJG5
FBgn0032620	Q9VJG2
FBgn0032624	Q9VJF6
FBgn0032625	Q9VJF5
FBgn0032626	Q4V424
FBgn0032629	Q8SY13
FBgn0032631	Q6IH99
FBgn0032632	Q9VJE7
FBgn0032633	Q960C5
FBgn0032634	Q9VJE4
FBgn0032635	Q9VJE3
FBgn0032636	Q9VJE1
FBgn0032637	Q9VJD8
FBgn0032638	Q9VJD7
FBgn0032639	Q9VJD6
FBgn0032640	Q9VJD4
FBgn0032642	Q9VJD2
FBgn0032643	Q9VJD1
FBgn0032644	Q9VJD0
FBgn0032645	Q9VJC8
FBgn0032646	Q9VJC7
FBgn0032647	Q9VJC5
FBgn0032648	Q9VJC4
FBgn0032649	Q9VJC3
FBgn0032650	Q9VJC2
FBgn0032651	Q9VJC1
FBgn0032652	Q9VJC0
FBgn0032654	Q9VJB9
FBgn0032656	Q8INY6
FBgn0032658	Q9VJB3
FBgn0032660	Q9VJB0
FBgn0032663	Q9VJA6
FBgn0032664	Q9VJA5
FBgn0032665	Q9VJA4
FBgn0032666	Q0E8P5
FBgn0032668	Q9VJA0
FBgn0032669	Q9VJ99
FBgn0032670	Q9VJ98
FBgn0032671	Q9VJ97
FBgn0032677	Q9VJ90
FBgn0032680	Q9VJ85
FBgn0032681	E1JHK9
FBgn0032682	Q9VJ83
FBgn0032683	Q9VJ82
FBgn0032684	Q9VJ81
FBgn0032685	Q9VJ80
FBgn0032688	X2JAA3
FBgn0032689	Q9VJ75
FBgn0032690	Q9VJ74
FBgn0032691	Q9VJ73
FBgn0032692	Q9VJ72
FBgn0032693	Q9VJ71
FBgn0032694	M9PDC4
FBgn0032698	Q8INX3
FBgn0032699	Q9VJ64
FBgn0032700	Q9VJ63
FBgn0032701	Q9VJ62
FBgn0032702	Q9VJ61
FBgn0032703	Q9VJ60
FBgn0032704	Q9VJ59
FBgn0032705	Q9VJ57
FBgn0032706	B7YZX2
FBgn0032707	Q9VJ55
FBgn0032709	Q9VJ53
FBgn0032713	Q9VJ46
FBgn0032715	Q9VJ44
FBgn0032717	B7YZX6
FBgn0032719	Q9VJ40
FBgn0032720	Q9VJ38
FBgn0032721	Q9VJ39
FBgn0032723	Q9VJ35
FBgn0032724	Q9VJ34
FBgn0032725	Q9VJ33
FBgn0032726	Q9VJ32
FBgn0032727	Q9VJ31
